Headcount;Poverty.Line.Month;Mean;Median;Gini;Population.Density;Consumption;Arab.Region;East.Asia.and.the.Pacific;Europe.and.Central.Asia;Latin.America.and.the.Caribbean;South.Asia;Sub.Saharan.Africa;Urban.Pop;Age.Dependency;Mean_Class.A;Mean_Class.B;Mean_Class.C
36.6;61.095436;110.17310333252;79.3983001708984;42.715510725975;17.40244967;1;0;0;0;0;0;1;58.282;97.8407852704613;1;0;0
32.300001;38.171623;92.6864700317383;57.8310890197754;51.2721121311188;24.7130520574316;1;0;0;0;0;0;1;65.514;96.1757404434103;1;0;0
14.300001;119.45534;239.770492553711;207.602493286133;28.9604812860489;105.854051094891;1;0;0;1;0;0;0;54.33;47.033079896868;1;0;0
23.4;137.43557;261.816986083984;214.909698486328;33.1710904836655;104.870693430657;1;0;0;1;0;0;0;59.383;45.6820974885622;1;0;0
30.3;298.73333;604.838012695312;456.542694091797;42.0325309038162;15.9281350828921;0;0;0;0;1;0;0;91.627;56.1022705830781;1;0;0
35.499999;306.94617;560.04248046875;419.174194335938;42.901200056076;16.4208266190179;0;0;0;0;1;0;0;91.991;55.85703345;1;0;0
53.500003;136.36253;172.518798828125;128.622604370117;37.505629658699;105.399367755532;1;0;0;1;0;0;0;64.038;51.4125673561181;1;0;0
26.4;121.60408;204.387298583984;170.363800048828;31.226059794426;103.007305936073;1;0;0;1;0;0;0;63.739;47.3623329395454;1;0;0
35.800001;132.84008;189.561904907227;157.693206787109;29.9925804138184;101.064945556726;1;0;0;1;0;0;0;63.44;43.7908192969174;1;0;0
29.4;147.88133;240.764999389648;205.354598999023;32.5479507446289;103.131225851774;1;0;0;1;0;0;0;63.082;45.4311576705425;1;0;0
26.4;132.49214;209.787994384766;178.567092895508;29.8782110214233;16.4208266190179;1;0;0;1;0;0;0;63.219;47.60064755;1;0;0
13.02;483.0032;1175.81896972656;954.341796875;33.4641695022583;2.52697759785481;0;0;1;0;0;0;0;84.1;49.41451031709;0;1;0
15.31;717.93151;1668.68298339844;1313.5;35.4285091161728;2.76599455892116;0;0;1;0;0;0;0;84.943;47.7459755436092;0;1;0
13.079999;676.26918;1662.67700195312;1333.97595214844;34.6567302942276;2.86785858401781;0;0;1;0;0;0;0;85.182;47.9484543670001;0;1;0
13.27;762.92424;1777.44494628906;1423.07800292969;34.3994289636612;3.05581479504836;0;0;1;0;0;0;0;85.602;50.2597000603197;0;1;0
14.5;824.26624;1696.86401367188;1478.28601074219;30.2522599697113;101.28742536726;0;0;0;1;0;0;0;57.399;48.1811872667783;0;1;0
13.3;812.45348;1744.59704589844;1517.15905761719;30.8487892150879;107.131858943286;0;0;0;1;0;0;0;58.297;49.9239401221367;0;1;0
49.599999;163.62985;213.399795532227;162.002395629883;36.4549398422241;98.1937920681807;1;0;0;1;0;0;0;51.587;56.834739223027;1;0;0
29.300001;219.24697;321.082092285156;266.2587890625;26.5549093484879;101.522501814662;1;0;0;1;0;0;0;52.389;48.8435771837448;1;0;0
81;51.661867;38.5460395812988;29.2226009368896;42.3165291547775;240.8707944;1;0;0;0;0;0;1;7.83;112.507498067508;1;0;0
67.1;46.183038;46.8345985412598;35.7192993164062;33.3598613739014;296.255802180685;1;0;0;0;0;0;1;9.617;95.2276315195211;1;0;0
64.899999;50.773601;53.3729209899902;39.6346817016602;38.6248201131821;371.506581;1;0;0;0;0;0;1;11.482;90.2347333773479;1;0;0
15.3;779.14274;1456.26403808594;1292.32604980469;28.3751904964447;359.827807133421;0;0;0;1;0;0;0;97.651;52.0144279661342;0;1;0
14.8;821.93524;1528.27294921875;1373.82397460938;27.2144109010696;377.379590488771;0;0;0;1;0;0;0;98.001;55.8704656667833;0;1;0
38.999999;47.717193;75.7237930297852;56.6267395019531;38.578200340271;66.6952376729337;1;0;0;0;0;0;1;39.536;92.2787621536393;1;0;0
36.199999;43.111119;82.2449722290039;54.6307106018066;43.4397101402283;83.9023589925505;1;0;0;0;0;0;1;43.608;88.6136399159168;1;0;0
40.099999;48.312733;82.466911315918;58.3089485168457;47.7559089660645;93.7916991841078;1;0;0;0;0;0;1;45.695;86.0977848350733;1;0;0
44.499999;39.047703;40.6581001281738;24.388240814209;48.0724900960922;35.8793421052632;1;0;0;0;0;0;1;14.86;101.430200080272;1;0;0
46.7;50.52;72.3020401000977;52.3197402954102;39.7622406482697;55.3402704678363;1;0;0;0;0;0;1;24.079;95.4575550291235;1;0;0
40.099999;55.241353;83.5289688110352;62.3884010314941;35.3012293577194;64.2763779239766;1;0;0;0;0;0;1;26.934;93.0148682548031;1;0;0
48.899999;69.698287;90.3142929077148;70.3339462280273;33.4065288305283;980.701037105324;1;0;0;0;0;1;0;23.59;68.9506654572493;1;0;0
40.000001;69.374471;100.808700561523;78.2355804443359;33.2012891769409;1068.10712913882;1;0;0;0;0;1;0;26.809;63.0481832457204;1;0;0
31.5;68.076425;107.900199890137;85.7446517944336;32.1303188800812;1133.71306752708;1;0;0;0;0;1;0;30.462;58.1246800817294;1;0;0
24.3;67.025424;118.255996704102;94.6036911010742;32.3852688074112;1213.57332718752;1;0;0;0;0;1;0;35.083;51.2600198099111;1;0;0
22.2;240.9;473.406585693359;396.506408691406;35.6535702943802;68.1245302137067;0;0;0;1;0;0;0;72.302;46.145403590479;1;0;0
22.6;327.22107;722.315795898438;533.648803710938;41.2840992212296;64.7110998526161;0;0;0;1;0;0;0;75.008;55.3214163558228;0;1;0
18.2;293.33185;623.216613769531;513.3740234375;33.0615907907486;73.4919140625;1;0;0;1;0;0;0;44.601;43.9498599058286;1;0;0
